Title,Publication Date,URL,Summary,Author,Section,Tags,Cleaned_Summary
What Minnesota Voters Think of Tim Walz,2024-08-06T23:34:20+0000,https://www.nytimes.com/2024/08/06/us/tim-walz-minnesota-voters-reactions.html,The governor succeeded in projecting an avuncular image. But not all voters are convinced that he rose above partisanship or united the state.,"By Robb Murray, Christina Capecchi, Dan Simmons, Jeff Ernst and Richard Fausset",U.S.,"Presidential Election of 2024, Vice Presidents and Vice Presidency (US), Democratic Party, Walz, Tim, Harris, Kamala D, Minnesota",governor succeeded projecting avuncular image voters convinced rose partisanship united state
"With Biden Out, Vice President Kamala Harris Has a Chance to Make History Again",2024-07-21T19:39:25+0000,https://www.nytimes.com/2024/07/21/us/politics/kamala-harris-nominee-president.html,"Ms. Harris, the first woman, and woman of color, to be vice president, has faced sexist and racist attacks, but she has energized a network of support.",By Jazmine Ulloa,U.S.,"Presidential Election of 2024, Endorsements, United States Politics and Government, Women and Girls, Minorities, Vice Presidents and Vice Presidency (US), Democratic Party, Biden, Joseph R Jr, Harris, Kamala D",harris first woman woman color vice president faced sexist racist attacks energized network support
Tim Walz’s Big Climate Ambitions,2024-08-06T18:47:55+0000,https://www.nytimes.com/2024/08/06/climate/tim-walzs-big-climate-ambitions.html,"Minnesota’s governor, Vice President Harris’s new running mate, has put forth one of the most ambitious climate agendas in the country.",By Manuela Andreoni,Climate,"Walz, Tim, Presidential Election of 2024, United States Politics and Government, Global Warming, Harris, Kamala D, Democratic Party, Alternative and Renewable Energy",minnesota governor vice president harris new running mate put forth one ambitious climate agendas country
One Word Has Elevated Minnesota’s Governor to the Democrats’ V.P. Wish List,2024-07-29T21:47:44+0000,https://www.nytimes.com/2024/07/29/us/tim-walz-minnesota-kamala-harris.html,"“These guys are just weird,” Gov. Tim Walz, a former schoolteacher, has said of the opposition.",By Ernesto Londoño,U.S.,"Presidential Election of 2024, Vice Presidents and Vice Presidency (US), Politics and Government, Content Type: Personal Profile, Walz, Tim, Harris, Kamala D, Democratic Party, Minnesota",guys weird gov tim walz former schoolteacher said opposition
Inside the Obama-Shapiro Relationship,2024-08-04T16:02:55+0000,https://www.nytimes.com/2024/08/04/us/politics/obama-josh-shapiro-relationship.html,"The speaking style of Gov. Josh Shapiro of Pennsylvania, a potential vice presidential pick, can sound suspiciously similar to President Obama’s. But the real connection between the two men is deeper than commonly known.",By Katie Glueck,U.S.,"United States Politics and Government, Presidential Election of 2024, Politics and Government, Harris, Kamala D, Obama, Barack, Plouffe, David, Shapiro, Josh (1973- ), Pennsylvania",speaking style gov josh shapiro pennsylvania potential vice presidential pick sound suspiciously similar president obama real connection two men deeper commonly known
The Veepstakes (Pennsylvania’s Version),2024-08-02T23:18:27+0000,https://www.nytimes.com/2024/08/02/us/politics/harris-vp-shapiro.html,"The question of whether Josh Shapiro can deliver the biggest, baddest swing state is complicated.",By Jess Bidgood,U.S.,"Politics and Government, Elections, Shapiro, Josh (1973- ), Harris, Kamala D, Presidential Election of 2024, Kelly, Mark E (1964- )",question whether josh shapiro deliver biggest baddest swing state complicated
"Trump, Honing Attacks on Harris, Casts Her as a Far-Left Threat",2024-07-27T03:24:42+0000,https://www.nytimes.com/2024/07/26/us/politics/trump-harris-turning-point-action.html,"Speaking to religious conservatives in Florida, former President Donald J. Trump accused Vice President Kamala Harris of wanting to use left-wing values to transform the United States.",By Michael Gold,U.S.,"Presidential Election of 2024, Turning Point Action Inc, Biden, Joseph R Jr, Harris, Kamala D, Netanyahu, Benjamin, Trump, Donald J, West Palm Beach (Fla)",speaking religious conservatives florida former president donald trump accused vice president kamala harris wanting use values transform united states
Don’t Listen to the Right. The Kamalanomenon Is Real.,2024-08-02T09:05:09+0000,https://www.nytimes.com/2024/08/02/opinion/kamala-harris-atlanta-rally.html,There was Obama-level excitement at Harris’s Atlanta rally.,By Michelle Goldberg,Opinion,"Presidential Election of 2024, United States Politics and Government, Harris, Kamala D, Democratic Party, Women and Girls, Minorities, Atlanta (Ga)",excitement harris atlanta rally
Many Elected Democrats Quickly Endorsed Kamala Harris. See Who Did.,2024-07-22T04:54:24+0000,https://www.nytimes.com/interactive/2024/07/22/us/politics/kamala-harris-democrats-endorsement-list.html,Every Democratic governor and a majority of Democrats in Congress supported Ms. Harris’s candidacy in the days after President Biden withdrew from the presidential race.,"By Lazaro Gamio, John Keefe, June Kim, Alyce McFadden, Andrew Park and Karen Yourish",U.S.,"Harris, Kamala D, Biden, Joseph R Jr, Democratic Party, Presidential Election of 2024",every democratic governor majority democrats congress supported harris candidacy days president biden withdrew presidential race
"Once Backed by the N.R.A., Tim Walz Now Champions Tighter Gun Controls",2024-08-01T18:07:25+0000,https://www.nytimes.com/2024/08/01/us/nra-tim-walz-guns.html,"The Minnesota governor, under consideration to be Vice President Kamala Harris’s running mate, began to push for new restrictions after a 2018 mass shooting.",By Ernesto Londoño,U.S.,"Gun Control, United States Politics and Government, Vice Presidents and Vice Presidency (US), Governors (US), Presidential Election of 2024, Democratic Party, National Rifle Assn, Walz, Tim, Harris, Kamala D, Minnesota",minnesota governor consideration vice president kamala harris running mate began push new restrictions mass shooting
Olympic Champion Simone Biles Posted on Social Media That She Loves her ‘Black Job’,2024-08-02T15:30:16+0000,https://www.nytimes.com/2024/08/02/us/politics/simone-biles-black-job-trump.html,Biles is only the third woman gymnast to win the all-around competition twice at the Olympics.,By Neil Vigdor,U.S.,"Social Media, Foreign Workers, United States Politics and Government, Presidential Election of 2024, Race and Ethnicity, Black People, Blacks, Olympic Games (2020), Illegal Immigration, Vice Presidents and Vice Presidency (US), Immigration and Emigration, Gymnastics, Republican Party, National Assn of Black Journalists, Biles, Simone, Trump, Donald J, Vance, J D, Harris, Kamala D",biles third woman gymnast win competition twice olympics
Nancy Pelosi: ‘It Didn’t Sound Like Joe Biden to Me’,2024-08-09T09:04:17+0000,https://www.nytimes.com/2024/08/09/opinion/ezra-klein-podcast-nancy-pelosi.html,"The former speaker of the House discusses the election, Trump and the art of power.",By Ezra Klein,Opinion,"Pelosi, Nancy, Books and Literature, The Art of Power: My Story as America's First Woman Speaker of the House (Book), Presidential Election of 2024, United States Politics and Government, Patient Protection and Affordable Care Act (2010), Abortion, Democratic Party, Republican Party, Biden, Joseph R Jr, Harris, Kamala D, Trump, Donald J, Vance, J D, audio-neutral-informative",former speaker house discusses election trump art power
Kamala Harris Rapidly Picks Up Democratic Support as 2024 Race Is Reborn,2024-07-22T01:27:57+0000,https://www.nytimes.com/2024/07/21/us/politics/harris-democrats-campaign-nominee-biden.html,"Endorsements cascaded in as the vice president took swift control of the Biden campaign in a transformed contest, though some key Democrats, including Barack Obama, did not immediately back her.","By Lisa Lerer, Shane Goldmacher, Katie Glueck and Reid J. Epstein",U.S.,"Harris, Kamala D, Biden, Joseph R Jr, Democratic Party, Presidential Election of 2024, Democratic National Convention, Democratic National Committee, Endorsements, Trump, Donald J",endorsements cascaded vice president took swift control biden campaign transformed contest though key democrats including barack obama immediately back
Shapiro’s College-Era Criticism of Palestinians Draws Fresh Scrutiny,2024-08-02T23:55:44+0000,https://www.nytimes.com/2024/08/02/us/politics/josh-shapiro-palestinians-college.html,"The Pennsylvania governor, a top contender to be Vice President Kamala Harris’s running mate, wrote in his college newspaper that Palestinians were “too battle-minded.”",By Neil Vigdor,U.S.,"Israel-Gaza War (2023- ), Palestinians, Pro-Palestinian Campus Protests (2023- ), Vice Presidents and Vice Presidency (US), Colleges and Universities, Newspapers, United States Politics and Government, International Relations, Governors (US), Jews and Judaism, Presidential Election of 2024, Terrorism, Anti-Semitism, Palestinian-Americans, Peace Process, Council on American-Islamic Relations, Democratic Party, Philadelphia Inquirer, University of Rochester, University of Pennsylvania, Hamas, Shapiro, Josh (1973- ), Harris, Kamala D, Pennsylvania, Gaza Strip, Israel, Middle East",pennsylvania governor top contender vice president kamala harris running mate wrote college newspaper palestinians
Kamala Harris Turns to Selecting a Possible Vice President,2024-07-22T09:04:35+0000,https://www.nytimes.com/2024/07/22/us/politics/kamala-harris-vp-list.html,The first big decision for Ms. Harris: Who will be her running mate if she is nominated by the Democratic Party to run for president in August.,By Adam Nagourney and Jennifer Medina,U.S.,"United States Politics and Government, Presidential Election of 2024, Vice Presidents and Vice Presidency (US), Democratic Party, Harris, Kamala D, Biden, Joseph R Jr, Beshear, Andrew G (1977- ), Kelly, Mark E (1964- ), Newsom, Gavin, Shapiro, Josh (1973- ), Whitmer, Gretchen",first big decision harris running mate nominated democratic party run president august
"Harris Joins TikTok, Another Sign of the App’s Value in Reaching Young Voters",2024-07-26T05:11:53+0000,https://www.nytimes.com/2024/07/26/us/politics/kamala-harris-tiktok.html,Vice President Kamala Harris launched her account on Thursday with an eight-second video that has since been viewed 5.8 million times.,By Ken Bensinger,U.S.,"Harris, Kamala D, TikTok (ByteDance), Social Media, Presidential Election of 2024, Beijing Bytedance Technology Co Ltd, Biden, Joseph R Jr, Trump, Donald J, United States Politics and Government",vice president kamala harris launched account thursday video since viewed million times
Trump vs. ‘America’s Border Czar’,2024-07-30T17:18:20+0000,https://www.nytimes.com/2024/07/22/opinion/kamala-harris-immigration-trump.html,Republicans’ first anti-Harris advertisement is about as subtle as Trump.,By Frank Bruni,Opinion,"Presidential Election of 2024, United States Politics and Government, Democratic Party, Republican Party, Trump, Donald J, Harris, Kamala D, Immigration and Emigration",republicans first advertisement subtle trump
Harris Holds First Rally as the Likely Democratic Nominee,2024-07-23T21:23:48+0000,https://www.nytimes.com/video/us/politics/100000009588095/harris-speech-wisconsin-rally.html,"Vice President Kamala Harris listed her campaign pledges, which included expanding abortion rights, building a strong middle class and protecting unions.",By The Associated Press,U.S.,"United States Politics and Government, Presidential Election of 2024, Milwaukee (Wis), Harris, Kamala D",vice president kamala harris listed campaign pledges included expanding abortion rights building strong middle class protecting unions
Harris Embraces Teachers’ Unions. Republicans Sense an Opening.,2024-07-25T22:15:18+0000,https://www.nytimes.com/2024/07/25/us/kamala-harris-teachers-education.html,"Republicans are already seeking to link Vice President Kamala Harris to pandemic school closures, which local teachers’ unions pushed to extend.",By Dana Goldstein and Nicholas Nehamas,U.S.,"Harris, Kamala D, United States Politics and Government, Presidential Election of 2024, Education (K-12), AMERICAN FEDERATION OF TEACHERS, Teachers and School Employees, Shutdowns (Institutional), Organized Labor, Coronavirus Reopenings",republicans already seeking link vice president kamala harris pandemic school closures local teachers unions pushed extend
"Trump Workshops Jabs at Harris, but Nothing Plays Like the Classics",2024-07-25T17:15:38+0000,https://www.nytimes.com/2024/07/25/us/politics/trump-kamala-harris-insults-rally-speech.html,"Donald J. Trump began turning Vice President Kamala Harris, his new opponent, into a nemesis. But his crowd still wanted to hear the hits.",By Shawn McCreesh,U.S.,"United States Politics and Government, Presidential Election of 2024, Politics and Government, Harris, Kamala D, Trump, Donald J, North Carolina",donald trump began turning vice president kamala harris new opponent nemesis crowd still wanted hear hits
"My Fellow Republicans, Stop the Trash Talk",2024-08-01T09:04:46+0000,https://www.nytimes.com/2024/08/01/opinion/republicans-election-kamala-harris.html,The message from both parties must be focused on results that can be delivered for the American people.,By Christopher T. Sununu,Opinion,"Presidential Election of 2024, United States Politics and Government, Trump, Donald J, Walz, Tim, Biden, Joseph R Jr, Harris, Kamala D, Republican Party, Democratic Party",message parties must focused results delivered american people
Democrats Set Aug. 1 for Harris Nomination Vote,2024-07-24T19:47:36+0000,https://www.nytimes.com/2024/07/24/us/politics/democrat-nominee-date-kamala-harris.html,"Vice President Kamala Harris has already secured the support of enough delegates to win the nomination, according to The Associated Press.",By Jazmine Ulloa,U.S.,"Democratic National Committee, Democratic National Convention, Harris, Kamala D, Presidential Election of 2024, Democratic Party",vice president kamala harris already secured support enough delegates win nomination according associated press
"With Speech to Teachers, Harris Waded into a Fiery Education Debate",2024-07-25T15:27:47+0000,https://www.nytimes.com/2024/07/25/us/kamala-harris-teachers-union-speech.html,"Kamala Harris has been a longtime ally of teachers’ unions, even when their positions have divided the Democratic coalition.",By Dana Goldstein,U.S.,"Presidential Election of 2024, Organized Labor, Teachers and School Employees, Politics and Government, Vice Presidents and Vice Presidency (US), AMERICAN FEDERATION OF TEACHERS, Democratic Party, Weingarten, Randi, Harris, Kamala D, Trump, Donald J",kamala harris longtime ally teachers unions even positions divided democratic coalition
The Amiable Attack Dog From Kentucky Who Could Join the Harris Ticket,2024-07-27T09:03:37+0000,https://www.nytimes.com/2024/07/27/us/politics/andy-beshear-kamala-harris-vp.html,"Andy Beshear, the Democratic governor of a deep-red state, is an intriguing Southern contender to become Kamala Harris’s running mate. He’s already straining to go after JD Vance.",By Nick Corasaniti,U.S.,"Beshear, Andrew G (1977- ), Kentucky, APPALACHIAN REGION, Harris, Kamala D, Democratic Party, Governors (US), Vice Presidents and Vice Presidency (US), Presidential Election of 2024, United States Politics and Government, Content Type: Personal Profile, Polls and Public Opinion",andy beshear democratic governor state intriguing southern contender become kamala harris running mate already straining go jd vance
On Turning Black,2024-08-01T19:19:41+0000,https://www.nytimes.com/2024/08/01/opinion/trump-harris-black-indian.html,Pitting the interests of minority groups against one another seems to be part of Trump’s re-election strategy.,By Esau McCaulley,Opinion,"Presidential Election of 2024, Race and Ethnicity, Black People, Blacks, Indian-Americans, Asian-Americans, Trump, Donald J, Harris, Kamala D, Republican Party, National Assn of Black Journalists, Minorities",pitting interests minority groups one another seems part trump strategy
Shapiro Faces Scrutiny Over Sexual Harassment Complaint Against Aide,2024-08-03T17:23:47+0000,https://www.nytimes.com/2024/08/03/us/politics/shapiro-aide-sexual-harassment.html,"The case has attracted renewed criticism now that Josh Shapiro, the governor of Pennsylvania, is on the short list to be Kamala Harris’s running mate.",By Sharon LaFraniere,U.S.,"Vereb, Michael A, Shapiro, Josh (1973- ), Sexual Harassment, Workplace Hazards and Violations, Pennsylvania, Politics and Government, Harris, Kamala D, Democratic Party, Presidential Election of 2024, United States Politics and Government",case attracted renewed criticism josh shapiro governor pennsylvania short list kamala harris running mate
Trump Clashed With Black Journalists. Then He Bragged About It to His Supporters.,2024-07-31T21:36:53+0000,https://www.nytimes.com/2024/07/31/us/politics/trump-black-journalists-nabj-interview.html,"After a combative interview on Wednesday, Donald J. Trump went on Truth Social to promote it to his fans.",By Shawn McCreesh,U.S.,"Presidential Election of 2024, Harris, Kamala D, Rose, Amber (1983- ), Trump, Donald J, National Assn of Black Journalists",combative interview wednesday donald trump went truth social promote fans
Harris’s Indian Heritage Is Deeply Felt if Little Advertised,2024-07-24T17:27:58+0000,https://www.nytimes.com/2024/07/24/world/asia/kamala-harris-india.html,Many Indian Americans see Kamala Harris as another example of the diaspora’s success and influence.,By Anupreeta Das,World,"United States International Relations, United States Politics and Government, Presidential Election of 2024, Vice Presidents and Vice Presidency (US), Coconuts, Harris, Kamala D, Modi, Narendra, Trump, Donald J, India, United States, Elections, House of Representatives, Elections, Senate",many indian americans see kamala harris another example diaspora success influence
"The Promise, and Risks, in Turning to Kamala Harris",2024-07-22T04:56:39+0000,https://www.nytimes.com/2024/07/22/us/politics/kamala-harris-democratic-nominee.html,"In a sprint of a race, Ms. Harris is poised to attack Donald Trump on his felonies and, in a 2024 twist, his age, but Republicans will be galvanized to fight her, too.",By Shane Goldmacher,U.S.,"Presidential Election of 2024, United States Politics and Government, Harris, Kamala D, Biden, Joseph R Jr, Democratic Party, Trump, Donald J, Republican Party",sprint race harris poised attack donald trump felonies twist age republicans galvanized fight
Obama Has Been in Touch With Harris and Is Expected to Endorse Her Soon,2024-07-25T20:47:38+0000,https://www.nytimes.com/2024/07/25/us/politics/obama-harris-endorsement.html,"Former President Barack Obama had been reluctant to endorse Ms. Harris too quickly, to avoid the perception that he was overseeing her coronation, people familiar with his thinking say.",By Glenn Thrush,U.S.,"United States Politics and Government, Presidential Election of 2024, Endorsements, Biden, Joseph R Jr, Harris, Kamala D, Obama, Barack, Democratic Party",former president barack obama reluctant endorse harris quickly avoid perception overseeing coronation people familiar thinking say
The V.P.’s Search for a V.P.,2024-07-30T10:00:13+0000,https://www.nytimes.com/2024/07/30/podcasts/the-daily/kamala-harris-vp.html,What Kamala Harris is looking for in a running mate.,"By Michael Barbaro, Lisa Lerer, Michael Simon Johnson, Rikki Novetsky, Clare Toeniskoetter, Liz O. Baylen, Marion Lozano and Chris Wood",Podcasts,"Presidential Election of 2024, Vice Presidents and Vice Presidency (US), Harris, Kamala D",kamala harris looking running mate
A Test for Harris: How to Talk About the Green New Deal,2024-07-26T09:03:48+0000,https://www.nytimes.com/2024/07/26/climate/kamala-harris-green-new-deal.html,"In the Senate, Kamala Harris backed an expansive climate plan. Young activists want her to embrace it again, but so do Republicans.",By Lisa Friedman,Climate,"Global Warming, Greenhouse Gas Emissions, Presidential Election of 2024, Green New Deal, Politics and Government, Environment, Inflation Reduction Act of 2022, National Republican Senatorial Committee, Sunrise Movement, Harris, Kamala D, Trump, Donald J, Fox News Channel",senate kamala harris backed expansive climate plan young activists want embrace republicans
Americans Deserve More Debates and Transparency in This Election,2024-07-26T09:04:49+0000,https://www.nytimes.com/2024/07/26/opinion/kamala-harris-donald-trump-debate.html,"Voters need a chance to see how the two candidates handle close public scrutiny in debates, interviews and informal events.",By The Editorial Board,Opinion,"Presidential Election of 2024, Debates (Political), Harris, Kamala D, Trump, Donald J, United States Politics and Government, Polls and Public Opinion",voters need chance see two candidates handle close public scrutiny debates interviews informal events
Anita Dunn to Leave White House in First Departure Since Biden’s Withdrawal,2024-07-30T21:20:19+0000,https://www.nytimes.com/2024/07/30/us/politics/anita-dunn-leaving-white-house-kamala-harris.html,"Ms. Dunn, the president’s senior adviser, will consult for a super PAC supporting Vice President Kamala Harris’s fledgling presidential campaign.",By Peter Baker and Katie Rogers,U.S.,"United States Politics and Government, Presidential Election of 2024, Presidential Election of 2020, Democratic Party, Future Forward USA Action (Political Organization), Biden, Joseph R Jr, Dunn, Anita, Harris, Kamala D",dunn president senior adviser consult super pac supporting vice president kamala harris fledgling presidential campaign
Harris Uses Popular Beyoncé Song During First Campaign Event,2024-07-23T17:57:42+0000,https://www.nytimes.com/video/us/politics/100000009587571/kamala-harris-beyonce-freedom.html,Vice President Kamala Harris walked out to Beyoncé’s song “Freedom” during her first official presidential campaign event.,By The Associated Press,U.S.,"United States Politics and Government, Presidential Election of 2024, Harris, Kamala D, Knowles, Beyonce",vice president kamala harris walked beyoncé song freedom first official presidential campaign event
Harris Rallies Teachers Union With Dire Warnings About Trump,2024-07-25T20:11:00+0000,https://www.nytimes.com/2024/07/25/us/politics/harris-teachers-unions.html,"“We want to ban assault weapons, and they want to ban books,” she told the crowd of 3,500 people at the convention of the American Federation of Teachers.",By Erica L. Green,U.S.,"Harris, Kamala D, Weingarten, Randi, AMERICAN FEDERATION OF TEACHERS, United States Politics and Government, Presidential Election of 2024, Organized Labor, Teachers and School Employees, Endorsements",want ban assault weapons want ban books told crowd people convention american federation teachers
Major Shifts Beneath the Surface in a New Trump-Harris Poll,2024-07-25T18:44:07+0000,https://www.nytimes.com/2024/07/25/upshot/poll-kamala-harris-trump.html,"The changes among groups cancel out for now, and Trump leads narrowly, but there’s a tie when candidates like Kennedy Jr. are considered.",By Nate Cohn,The Upshot,"Presidential Election of 2024, Polls and Public Opinion, Harris, Kamala D, Trump, Donald J, United States Politics and Government",changes among groups cancel trump leads narrowly tie candidates like kennedy considered
Schumer Promises Year-End Judicial Push as Courts Gain New Political Importance,2024-08-01T15:56:30+0000,https://www.nytimes.com/2024/08/01/us/politics/schumer-supreme-court-justices.html,"Pushing for an overhaul of the Supreme Court is a new priority as Democrats try to match Trump-era judicial confirmations, the Senate majority leader says.",By Carl Hulse,U.S.,"United States Politics and Government, Courts and the Judiciary, Ethics and Official Misconduct, Term Limits (Political Office), Immunity from Prosecution, Presidential Election of 2024, Schumer, Charles E, Biden, Joseph R Jr, Harris, Kamala D, Senate Committee on the Judiciary, Senate, Supreme Court (US), Democratic Party",pushing overhaul supreme court new priority democrats try match judicial confirmations senate majority leader says
Vance Denigrated Harris for Being Childless. Her Blended Family Is Defending Her.,2024-07-25T20:40:44+0000,https://www.nytimes.com/2024/07/25/us/politics/jd-vance-kamala-harris-childless.html,JD Vance’s 2021 insult of “childless cat ladies” has sparked bipartisan outrage at a moment when women’s choices are seen as a galvanizing political force.,By Katie Rogers,U.S.,"Presidential Election of 2024, United States Politics and Government, Abortion, Parenting, In Vitro Fertilization, Women and Girls, Roe v Wade (Supreme Court Decision), Infertility, Egg Donation and Freezing, Children and Childhood, Emhoff, Douglas C, Emhoff, Ella, Harris, Kamala D, Vance, J D",jd vance insult childless cat ladies sparked bipartisan outrage moment women choices seen galvanizing political force
‘Just Don’t Screw It Up’: Three Writers Go Behind the Scenes of Making a V.P. Pick,2024-08-02T09:03:26+0000,https://www.nytimes.com/2024/08/02/opinion/kamala-harris-josh-shapiro.html,Presidential campaign veterans discuss what goes into the veepstakes.,"By Frank Bruni, Beth Myers and Jim Jordan",Opinion,"Harris, Kamala D, Beshear, Andrew G (1977- ), Buttigieg, Pete (1982- ), Kelly, Mark E (1964- ), Shapiro, Josh (1973- ), Walz, Tim, Vice Presidents and Vice Presidency (US), Presidential Election of 2024, United States Politics and Government, Republican Party, Trump, Donald J, Vance, J D",presidential campaign veterans discuss goes veepstakes
"Democrats, All of Them, Must Protect Harris",2024-07-24T23:00:10+0000,https://www.nytimes.com/2024/07/24/opinion/kamala-harris-maga.html,MAGA won’t be content to beat the vice president. It’ll try to destroy her.,By Charles M. Blow,Opinion,"Harris, Kamala D, Presidential Election of 2024, Black People, Blacks, Women and Girls, Democratic Party, Vance, J D, Trump, Donald J, Biden, Joseph R Jr",maga content beat vice president try destroy
Harris Narrowed Trump’s Lead in Polls,2024-07-25T21:58:43+0000,https://www.nytimes.com/2024/07/25/briefing/harris-trump-poll-wildfire-canada.html,"Also, wildfires roar through western Canada. Here’s the latest at the end of Thursday.",By Matthew Cullen,Briefing,"Presidential Election of 2024, Harris, Kamala D, Trump, Donald J, Polls and Public Opinion",also wildfires roar western canada latest end thursday
The Harris-______ Campaign,2024-07-24T10:49:19+0000,https://www.nytimes.com/2024/07/24/briefing/vice-president-candidates.html,We cover the four leading vice-presidential contenders.,By David Leonhardt and Ian Prasad Philbrick,Briefing,"internal-storyline-no, Harris, Kamala D, Shapiro, Josh (1973- ), Cooper, Roy A, Beshear, Andrew G (1977- ), Kelly, Mark E (1964- ), Presidential Election of 2024, Vice Presidents and Vice Presidency (US)",cover four leading contenders
Kamala Harris Wastes No Time in Attacking J.D. Vance,2024-07-18T21:44:51+0000,https://www.nytimes.com/2024/07/18/us/politics/kamala-harris-jd-vance-speech.html,"As Democratic speculation grew that President Biden might be forced to give way to his vice president, she rallied supporters in North Carolina and went after her new counterpart on the Republican ticket.",By Katie Glueck and Nicholas Nehamas,U.S.,"Presidential Election of 2024, Vice Presidents and Vice Presidency (US), Democratic Party, Republican Party, Biden, Joseph R Jr, Cooper, Roy A, Harris, Kamala D, Sharpton, Al, Trump, Donald J, Vance, J D, Fayetteville (NC), Milwaukee (Wis)",democratic speculation grew president biden might forced give way vice president rallied supporters north carolina went new counterpart republican ticket
"Now Facing Harris, Trump Backs Off Commitment to Debate in September",2024-07-26T03:04:50+0000,https://www.nytimes.com/2024/07/25/us/politics/trump-harris-biden-debate.html,The former president suggested moving a debate from ABC News to Fox.,By Maggie Haberman and Shane Goldmacher,U.S.,"Harris, Kamala D, Trump, Donald J, Presidential Election of 2024, Debates (Political), Biden, Joseph R Jr, ABC News, Fox News Channel, Obama, Barack",former president suggested moving debate abc news fox
"Harris Narrows Gap Against Trump, Times/Siena Poll Finds",2024-07-25T18:41:11+0000,https://www.nytimes.com/2024/07/25/us/politics/poll-kamala-harris-donald-trump.html,"In a survey taken after President Biden stepped aside, Donald Trump and Kamala Harris are locked in a tight race separated by a single percentage point among likely voters.","By Shane Goldmacher, Ruth Igielnik and Camille Baker",U.S.,"New York Times/Siena College Poll, Presidential Election of 2024, Polls and Public Opinion, United States Politics and Government, Biden, Joseph R Jr, Harris, Kamala D, Trump, Donald J, Democratic Party",survey taken president biden stepped aside donald trump kamala harris locked tight race separated single percentage point among likely voters
We’re Asking the Wrong Question About Harris and Race,2024-07-25T19:02:26+0000,https://www.nytimes.com/2024/07/25/opinion/kamala-harris-race.html,"When it comes to people of mixed racial origin, our assumptions are sometimes strangely at odds with our ideals.",By John McWhorter,Opinion,"Minorities, Black People, Blacks, Race and Ethnicity, Whites, Presidential Election of 2024, Harris, Kamala D",comes people mixed racial origin assumptions sometimes strangely odds ideals
Mark Kelly Is a Different Kind of Democrat,2024-08-02T09:04:44+0000,https://www.nytimes.com/2024/08/02/opinion/astronaut-kelly-harris-vp.html,"Mark Kelly’s qualities — sobriety, consistency and military experience — are welcome contributions to the future of Democratic politics.",By Tom Zoellner,Opinion,"Presidential Election of 2024, Kelly, Mark E (1964- ), Democratic Party, Harris, Kamala D, Space and Astronomy, Space Shuttles, International Space Station, Arizona",mark kelly qualities sobriety consistency military experience welcome contributions future democratic politics
Harris Warns Black Women That Trump Is a Threat to Children and Families,2024-07-24T18:36:04+0000,https://www.nytimes.com/2024/07/24/us/politics/harris-trump-black-women.html,Her speech was a clear effort to make the election a referendum on the former president.,By Nicholas Nehamas and Simon J. Levien,U.S.,"Women and Girls, Presidential Election of 2024, Race and Ethnicity, Harris, Kamala D, Biden, Joseph R Jr, United States",speech clear effort make election referendum former president
It’s Silicon Valley vs. Silicon Valley as Political Fights Escalate,2024-07-29T14:12:46+0000,https://www.nytimes.com/2024/07/29/technology/silicon-valley-politics-elon-musk-reid-hoffman.html,"Elon Musk, Reid Hoffman and other tech billionaires, many of whom are part of the “PayPal Mafia,” are openly brawling with one another over politics as tensions rise.","By Ryan Mac, Erin Griffith and Mike Isaac",Technology,"Presidential Election of 2024, Computers and the Internet, Venture Capital, High Net Worth Individuals, Hoffman, Reid Garrett, Musk, Elon, Sacks, David O, Hastings, Reed, McNamee, Roger, Thiel, Peter A, Khosla, Vinod, Andreessen, Marc L, Horowitz, Ben, Andreessen Horowitz, Zuckerberg, Mark E, Harris, Kamala D, Trump, Donald J, Republican Party, Democratic Party",elon musk reid hoffman tech billionaires many part paypal mafia openly brawling one another politics tensions rise
U.A.W. Holds Off on Endorsing Harris,2024-07-23T17:54:06+0000,https://www.nytimes.com/2024/07/23/us/politics/uaw-harris-endorsement.html,"Unlike other prominent unions, the auto workers are taking their time to ensure that the vice president is aligned with them on key policy questions.",By Noam Scheiber,U.S.,"Presidential Election of 2024, Organized Labor, United States Politics and Government, United Automobile Workers, Fain, Shawn, Harris, Kamala D, Endorsements",unlike prominent unions auto workers taking time ensure vice president aligned key policy questions
Harris Works to Build Bridges to the Business World,2024-07-24T17:32:26+0000,https://www.nytimes.com/2024/07/24/business/kamala-harris-business-policies-economy.html,"The vice president has sought to raise her profile among executives, to whom she has been something of an enigma.","By Sydney Ember, Rob Copeland and Maureen Farrell",Business Day,"Presidential Election of 2024, United States Politics and Government, Banking and Financial Institutions, Harris, Kamala D, Regulation and Deregulation of Industry, Campaign Finance, Democratic Party",vice president sought raise profile among executives something enigma
"Silent No More, Harris Seeks Her Own Voice Without Breaking With Biden",2024-07-26T23:27:52+0000,https://www.nytimes.com/2024/07/26/us/politics/kamala-harris-gaza-biden.html,The vice president’s expressions of concern for Palestinian suffering marked a shift in emphasis from the president’s statements as she moved to establish herself as the leader of her party.,By Peter Baker,U.S.,"Harris, Kamala D, Biden, Joseph R Jr, Presidential Election of 2024, Vice Presidents and Vice Presidency (US), United States Politics and Government, United States International Relations, Israel-Gaza War (2023- ), Abortion",vice president expressions concern palestinian suffering marked shift emphasis president statements moved establish leader party
